,,,,,,,,,,17.11 - 16.20,,19.11 - 11.30,,20.11 - 11.30,,22.11 - 10.15,,23.11 - 13.15,,28.11 - 23.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Наименование на складе ВиДринк,Наименовани наше,Фасовка на складе ВиДринк,Вес в коробке,Цена,Отправили,Общий вес,Упаковка вес,Количество,Общий вес,Количество,Общий вес,Количество,Общий вес,Количество,Общий вес,Количество,Общий вес,Количество,Общий вес,Ушло с 23 по 28 (6 дней),За день среднее,Придет 29 ноября,Ушло с 17-11.30 до 23-13.15,За день среднее,Хватит на дней,Заказ на 14 дней,За вычетом в наличии,В коробках,Ушло за 1 субботу,Хватит на дней,Заказ на 7 дней,Приходило в упаковка 19.11,По весу,Приходило в упаковка 21.11,По весу,,"Уходит за день (учет 4,5 дня)",За 5 дней,За день (5дн),В кор за 5дн,На 10 дней закуп,Хватит на дней,Хватит на дней,Заказ на 2 недели,Отправили,В коробках,Сумма
,芒果颗粒果酱 Гранулированный джем из манго,"Манговое пюре 1,2 кг","1,2 кг * 12 бан./кор.","14,4",33 600 ,2,"28,8","1,2",17,"20,4",16,"19,2",15,18,12,"14,4",11,"13,2",3,"3,6","9,6","1,6","14,4",6,"1,2","11,25","22,4","18,8","1,3","1,2",11,,,,,0,,"0,96","9,6","1,92","1,333333333","19,2",10,15,"9,6",2,,0
,粉桃酱（按件出）Варенье из розовых персиков (поставляется поштучно),"Персиковое пюре 1,2 кг","1,2 кг * 12 бан./кор.","14,4",33 600 ,6,"86,4","1,2",40,48,39,"46,8",38,"45,6",32,"38,4",32,"38,4",24,"28,8","9,6","1,6",,"8,4","1,68",18,"22,4","-6,4","-0,4",0,#DIV/0!,,,,12,"14,4",,"0,96","39,6","7,92","5,5","79,2","5,909090909",40,"9,6",6,2,67200
,香橙汁 апельсиновый сок,"Концентрат напитка с кусочками апельсина 2,6 кг","2,6 кг * 8 бан./кор.","20,8",45 500 ,1,"20,8","2,6",4,"10,4",3,"7,8",18,"46,8",24,"62,4",23,"59,8",16,"41,6","18,2","3,033333333",,"10,4","2,08","13,71428571","42,46666667","0,8666666667","0,0","2,6",23,,16,"41,6",8,"20,8",,"2,08",13,"2,6","1,25",26,3,30,"20,8",1,1,45500
,树莓汁 малиновый сок,"Малина сок 2,6 кг","2,6 кг * 8 бан./кор.","20,8",49 000 ,1,"20,8","2,6",4,"10,4",3,"7,8",2,"5,2",9,"23,4",9,"23,4",20,52,"-28,6","1,04",,"5,2","1,04",50,"14,56","-37,44","-1,8",0,#DIV/0!,,,0,8,"20,8",,"2,08",13,"2,6","1,25",26,3,11,"20,8",1,1,49000
,葡萄复合果汁 Виноградный комплексный сок,"Виноградный сок 2,6 кг","2,6 кг * 8 бут./кор.","20,8",35 000 ,1,"20,8","2,6",4,"10,4",4,"10,4",18,"46,8",26,"67,6",26,"67,6",16,"41,6",26,"4,333333333",,"5,2","1,04","9,6","60,66666667","19,06666667","0,9",0,#DIV/0!,,16,"41,6",8,"20,8",,"2,08","10,4","2,08",1,"20,8",5,33,"20,8",1,1,35000
,糖水葡萄罐头 Консервированный виноград в сахарной воде,Виноград консервированный 850 г,"0,85 кг * 12 бан./кор.","10,2",22 400 ,3,"30,6","0,85",22,"18,7",18,"15,3",17,"14,45",16,"13,6",13,"11,05",1,"0,85","10,2","1,7",,"4,25","0,85","0,5","23,8","22,95","2,3","2,55","4,333333333","1,75",,0,,0,,"1,7","15,3","3,06",3,"30,6",5,8,17,3,3,67200
,西柚颗粒 Частицы грейпфрута,Грейпфрут 850 г,"0,85 кг * 12 бан./кор.","10,2",38 500 ,1,"10,2","0,85",7,"5,95",6,"5,1",5,"4,25",15,"12,75",15,"12,75",11,"9,35","3,4","0,5666666667",,"2,55","0,51","16,5","7,933333333","-1,416666667","-0,1",0,#DIV/0!,,,0,12,"10,2",,"0,68","5,1","1,02",1,"10,2",5,19,"6,8",1,1,38500
,拿铁 Латте,Латте 1 кг,1 кг * 20 уп./кор.,20,52 500 ,1,20,1,16,16,14,14,14,14,12,12,11,11,"7,5","7,5","3,5","0,5833333333",,3,"0,6","12,85714286","8,166666667","0,6666666667","0,0",1,11,,,0,,0,,"0,8",6,"1,2","0,6",12,"11,66666667",15,8,1,,0
,杨枝甘露粉 Порошок нектара тополя,Янчжи Ганлу 1 кг ,1 кг * 20 уп./кор.,20,59 500 ,1,20,1,13,13,13,13,"11,5","11,5",10,10,8,8,2,2,6,1,20,5,1,22,14,12,"0,6",2,4,"0,7",,0,,0,,"0,60",7,"1,4","0,7",14,"9,285714286",17,6,1,,0
,百香果 маракуйя,Концентрат сока маракуйи 2 кг,2 кг * 6 бан./кор.,12,26 600 ,5,60,2,18,36,13,26,10,20,8,16,5,10,0,0,10,"1,666666667",60,16,"3,2",36,"23,33333333","-36,66666667","-3,1",6,"1,666666667","3,5",,0,,0,,"6,4",34,"6,8","5,666666667",68,"3,823529412",3,64,5,4,106400
,果糖 фруктоза,"Сироп из фруктового сока 12,5 кг","12,5 кг * 2 бан./кор.",25,19 600 ,5,125,"12,5",7,"87,5",6,75,6,75,10,125,10,125,10,125,0,0,,0,0,#DIV/0!,0,-125,"-5,0",0,#DIV/0!,,,0,4,50,,5,50,10,4,100,"7,5",25,50,5,2,39200
,椰果 Кокос,"Кокосовые кусочки 2,5 кг","2,5 кг * 8 пак./кор.",20,12 600 ,5,100,"2,5",17,"42,5",5,"12,5",0,0,0,0,0,0,0,0,0,0,200,"12,5","2,5",80,0,0,"0,0",0,#DIV/0!,,,0,,0,,17,"87,5","17,5","8,75",175,"0,7142857143",0,170,5,8,100800
,黑珍珠 черная жемчужина,Тапиока 1 кг,1 кг * 20 уп./кор.,20,21 000 ,5,100,1,67,67,53,53,48,48,118,118,114,114,86,86,28,"4,666666667",,19,"3,8","18,42857143","65,33333333","-20,66666667","-1,0",4,"28,5",,,0,80,80,,"7,6",47,"9,4","4,7",94,"5,638297872",16,76,5,4,84000
,新型长脆筒（带纸托）Новый длинный тубус для хрустящих продуктов (с держателем для бумаги),Хрустящие рожки по 400 штук,400 шт./кор.,400,155 560 ,16,6400,400,13,5200,"12,5",5000,11,4400,"10,5",4200,"9,5",3800,5,2000,1800,300,,1200,240,"6,666666667",4200,2200,"5,5",400,"9,5",,,0,,0,,320,1400,280,7,2800,"17,85714286",13,3200,16,,0
,原味冰淇淋粉 Оригинальный порошок для мороженого,Порошок со вкусом молочного коктейля (сливочный)  3кг,3 кг * 8 пак./кор.,24,56 000 ,6,144,3,22,66,18,54,56,168,46,138,38,114,1,3,111,"18,5",,60,12,"0,1621621622",259,256,"10,7",24,"4,75",7,40,120,,0,,"7,2",90,18,"7,5",180,3,19,72,6,5,280000
,,Порошок со вкусом молочного коктейля ( шоколадный) 3кг,3 кг * 8 пак./кор.,24,,6,144,3,32,96,28,84,26,78,17,51,11,33,0,0,33,"5,5",,51,"10,2",0,77,77,"3,2",18,"1,833333333","5,25",,0,,0,,"7,2",60,12,5,120,7,7,72,6,5,0
,奶茶伴侣 компаньон для чая с молоком,Компаньон для чая с молоком 3 кг ,3 кг * 8 пак./кор.,24,52 500 ,2,48,3,3,9,2,6,0,0,38,114,38,114,27,81,33,"5,5",,12,"2,4","14,72727273",77,-4,"-0,2",0,#DIV/0!,,,0,40,120,,"3,6",42,"8,4","3,5",84,"0,7142857143",32,36,2,3,157500
,果蜜 Нектар,Фрутовый мед 5.5кг,"5,5 кг * 4 бан./кор.",22,24 500 ,5,110,"5,5",13,"71,5",11,"60,5",10,55,20,110,18,99,12,66,33,"5,5",,"27,5","5,5",12,77,11,"0,5",11,9,,,0,12,66,,"6,6","49,5","9,9","4,5",99,"6,111111111",17,66,5,1,24500
,布丁粉 Пудинговый порошок,Порошок для карамельного пудинга 1 кг,1 кг * 20 уп./кор.,20,56 000 ,1,20,1,19,19,19,19,19,19,16,16,18,18,17,17,1,"0,1666666667",,1,"0,2",102,"2,333333333","-14,66666667","-0,7",-2,-9,,,0,,0,,0,1,"0,2","0,1",2,95,#DIV/0!,0,1,0,0
, 黑糖糖浆 сироп из коричневого сахара ,"Черный сахар 2,5 кг"," 2,7 кг * 8 бан./кор. ",  22 ,35 000 ,1,"21,6","2,5",3,"7,5",3,"7,5",3,"7,5",11,"27,5",11,"27,5",6,15,"12,5","2,083333333",,0,0,"7,2","29,16666667","14,16666667","0,7",0,#DIV/0!,,,0,8,20,,0,"14,1","2,82","1,305555556","28,2","2,659574468",#DIV/0!,0,1,1,35000
,巧克力浆 шоколадный соус,"Шоколадный сироп 2,5 кг","2,7 кг * 8 бан./кор.","21,6",33 600 ,1,"21,6","2,5",4,10,4,10,4,10,3,"7,5",1,"2,5",0,0,"2,5","0,4166666667","21,6","7,5","1,5","51,84","5,833333333","5,833333333","0,3",5,"0,5","1,62037037",,0,,0,,0,"11,6","2,32","1,074074074","23,2","4,310344828",#DIV/0!,0,1,1,33600
,草莓果浆 клубничное варенье,Концентрат клубничного сока 2 кг,2 кг * 6 бан./кор.,12,18 200 ,2,24,2,7,14,7,14,19,38,22,44,20,40,12,24,16,"2,666666667",,10,2,9,"37,33333333","13,33333333","1,1",4,10,,12,24,6,12,,0,10,2,"1,666666667",20,7,#DIV/0!,0,2,1,18200
,蓝莓果浆 черничная мякоть,Концентрат напитка с кусочками черники 2 кг,2 кг * 6 бан./кор.,12,25 200 ,2,24,2,7,14,7,14,19,38,23,46,22,44,19,38,6,1,,6,"1,2",38,14,-24,"-2,0",2,22,,12,24,6,12,,0,10,2,"1,666666667",20,7,#DIV/0!,0,2,1,25200
,蜜桃冻 Персиковое желе,Персиковое желе 1 л,1 л * 10 кор./кор.,10,11 200 ,2,20,1,15,15,15,15,15,15,15,15,15,15,13,13,2,"0,3333333333",,0,0,39,"4,666666667","-8,333333333","-0,8",0,#DIV/0!,,,0,,0,,0,5,1,1,10,15,#DIV/0!,0,2,,0
,红豆罐头 консервированная красная фасоль,Фасоль 900 г ,"0,9 кг * 12 бан./кор.","10,8",14 000 ,3,"32,4","0,9",30,27,30,27,30,27,35,"31,5",33,"29,7",38,"34,2","-4,5","-0,75",,"8,1","1,62","-45,6","-10,5","-44,7","-4,1","1,8","16,5",,,0,12,"10,8",,0,"5,4","1,08",1,"10,8",25,#DIV/0!,0,3,1,14000
,卡布奇诺 капучино,Каппучино порошок,1 кг * 20 уп./кор.,20,52 500 ,1,20,,,,,,,,,0,,0,,0,0,0,20,0,0,#DIV/0!,0,0,"0,0",0,,,,0,,0,,,20,4,2,40,0,,,1,2,105000
,抹茶冰淇淋粉 Порошок для мороженого Матча,Матча мороженое,3 кг * 8 пак./кор.,24,63 000 ,,0,,,,,,,,,0,,0,,0,0,0,,0,0,,0,0,"0,0",0,,,,0,,0,,,0,0,0,0,#DIV/0!,,,,2,126000
,奥利奥碎屑 Орео Крамбл,Орео крошка для топинга,"0,454 кг * 24 уп./кор.","10,896",,,0,,,,,,,,,0,,0,,0,0,0,,0,0,,0,0,"0,0",0,,,,0,,0,,,0,0,0,0,#DIV/0!,,,,2,0
,茉上青风 Прохладный ветерок на Мошанге,Жасминовый чай,"0,05 кг * 160 уп./кор.",8,95 200 ,3,24,,,,,,,,,0,,0,,0,0,0,,0,0,,0,0,"0,0",0,,,,0,,0,,,24,"4,8",6,48,0,,,3,0,0
,梅占红茶 Черный чай Мэйжан,Черный чай,"0,1 кг * 120 уп./кор.",12,101 500 ,3,36,,,,,,,,,0,,0,,0,0,0,,0,0,,0,0,"0,0",0,,,,0,,0,,,36,"7,2",6,72,0,,,3,0,0
,WE.500-90塑杯（PP杯）Стакан пластиковый WE.500-90 (стакан ПП),Стакан 500,1000 шт./кор.,1000,21 000 ,0/5,#VALUE!,,,,-,,,,,0,8,0,7,0,0,0,,0,0,,0,0,"0,0",0,,,,0,,0,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,4,0/5,0,84
,WE.700-90塑杯（PP杯）Пластиковый стакан WE.700-90 (стакан ПП),Стакан 700,1000 шт./кор.,1000,27 300 ,5,5000,,,,2 кор и 18упак,,,,,0,,0,,0,0,0,,0,0,,0,0,"0,0",0,,,,0,,0,,,5000,1000,10,10000,0,,1,5,1,27300
,吨吨桶（新）Тонна тонна бочка (новая),Стакана большой 900мл,200 компл./кор.,200,21 840 ,2,400,,,,300,,,,,0,,0,,0,0,0,,0,0,,0,0,"0,0",0,,,,0,,0,,,400,80,4,800,0,,1,2,1,21840
,U型杯 U-образная чашка,Стакан U,1000 шт./кор.,1000,21 000 ,0/2,#VALUE!,,,,-,,,,,0,5,0,4,0,0,0,,0,0,,0,0,"0,0",0,,,,0,,0,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,5,,0,105
,纸膜粗吸管 Соломинки из бумажной пленки,Толстые бумажные трубочки,4000 шт./кор.,4000,22 400 ,3,12000,,,,,,,,,0,,0,,0,0,0,,0,0,,0,0,"0,0",0,,,,0,,0,,,12000,2400,6,24000,,,1,,1,22400
,纸膜细吸管 трубочки из бумажной пленки,Тонкие бумажные трубочки,5000 шт./кор.,5000,14 700 ,2,10000,,,,,,,,,0,,0,,0,0,0,,0,0,,0,0,"0,0",0,,,,0,,0,,,10000,2000,4,20000,,,,,0,0
,WE. 球形盖（90）WE. Сферическая крышка (90),Крышка купольная 90,2000 шт./кор.,2000,22 400 ,2,4000,,,,,,,,,0,,0,,0,0,0,,0,0,,0,0,"0,0",0,,,,0,,0,,,4000,800,4,8000,,,,,0,0
,WE.大长勺 WE.Ковш,большая длинная ложка,2000 шт./кор.,2000,26 600 ,2,4000,,,,,,,,,0,,0,,0,0,0,,0,0,,0,0,"0,0",0,,,,0,,0,,,4000,800,4,8000,,,,,0,0
,WE.专用勺 WE.специальная ложка,"Специальная ложка (маленькая, дегустационная)",1000 шт./кор.,1000,8 400 ,2,2000,,,,,,,,,0,,0,,0,0,0,,0,0,,0,0,"0,0",0,,,,0,,0,,,2000,400,4,4000,,,,,0,0
,WE.封口膜 WE.уплотнительная пленка,Плёнка для запайки стаканов,12 рул./кор.,12,68 600 ,1,12,,,,,,8,,,0,8,0,,0,0,0,,0,0,,0,0,"0,0",0,,,,0,,0,,,12,"2,4",2,24,,,,,0,0
,WE.单杯袋 WE.сумка на одну чашку,Пакет для одной чашки,10000 шт./кор.,10000,52 500 ,2,20000,,,,,,,,,0,,0,,0,0,0,,0,0,,0,0,"0,0",0,,,,0,,0,,,20000,4000,4,40000,,,,,0,0
,WE.双杯袋 WE.Сумка на двойную чашку,Пакет для одной чашки,5000 шт./кор.,5000,47 600 ,2,10000,,,,,,,,,0,,0,,0,0,0,,0,0,,0,0,"0,0",0,,,,0,,0,,,10000,2000,4,20000,,,,,0,0
, 四杯袋 сумка на четыре чашки ,Пакет для четырёх чашек, 3000 шт./кор. ,  3 000 ,49 000 ,2,6000,,,,,,,,,0,,0,,0,0,0,,0,0,,0,0,"0,0",0,,,,0,,0,,,6000,1200,4,12000,,,,,0,0
,16A中空纸杯 16A Полый бумажный стаканчик,Бумажный стакан,500 шт./кор.,500,31 500 ,2,1000,,,,,,,,,0,,0,,0,0,0,,0,0,,0,0,"0,0",0,,,,0,,0,,,1000,200,4,2000,,,,,0,0
,90注塑防漏连体盖-黑 90 литая герметичная цельная крышка - черная,Крышка 90 пластик для бумажного стакана,1000 шт./кор.,1000,17 500 ,1,1000,,,,,,,,,0,,0,,0,0,0,,0,0,,0,0,"0,0",0,,,,0,,0,,,1000,200,2,2000,,,,,0,0
,夏装T-shirt,10 ,个 Шт.,,,,,,,,,,,,,0,,0,,0,0,0,,0,0,,0,0,#DIV/0!,0,,,,0,,0,,,0,0,#DIV/0!,0,,,,,#DIV/0!,
,冬帽 Зимняя шапка,5 ,个 Шт.,,,,,,,,,,,,,0,,0,,0,0,0,,0,0,,0,0,#DIV/0!,0,,,,0,,0,,,0,0,#DIV/0!,0,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Сумма,1523529